@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
519,518,512,514,512,512,510,507,508,511,508,508,508,508,508,512,512,515,514,506,509,508,508,515,516,516,510,509,511,508,508,510,510,510,515,512,512,508,508,510,512,518,526,524,515,504,502,499,504,507,505,504,506,506,513,518,518,516,512,513,511,508,514,515,512,502,502,504,505,513,514,513,515,515,516,A
513,516,514,513,513,511,510,506,502,505,504,503,505,504,508,514,521,524,518,519,512,508,504,502,502,505,508,512,512,510,508,515,513,511,510,508,512,512,517,518,515,513,509,507,507,510,509,510,510,505,512,514,512,512,513,512,512,508,506,506,505,512,514,514,508,510,510,512,510,509,512,513,515,514,512,A
507,512,514,515,509,505,510,511,512,512,508,510,507,508,510,508,511,512,514,512,510,510,513,515,510,512,506,502,506,502,509,512,512,513,518,518,512,510,512,513,506,508,508,510,509,510,510,507,506,511,513,515,517,513,512,509,509,512,514,514,513,512,510,510,512,510,504,513,518,513,505,504,507,508,512,A
510,513,512,510,512,512,508,510,508,504,508,511,515,512,514,510,512,516,514,513,508,507,506,508,508,506,509,510,514,513,515,515,513,512,510,508,512,507,512,510,512,511,510,509,508,506,508,515,516,515,514,512,515,513,510,508,511,513,515,514,510,512,509,502,504,504,504,506,508,515,512,515,512,508,515,A
515,512,510,507,512,514,516,513,508,506,501,502,510,514,521,518,513,516,511,508,508,510,514,510,510,517,516,512,510,510,512,511,504,508,512,516,510,507,515,515,513,506,509,502,504,512,515,509,510,505,506,505,515,518,513,510,508,510,512,515,511,508,512,521,519,516,508,508,506,521,506,512,504,506,501,A
514,512,516,510,512,507,505,502,512,519,518,510,515,513,514,511,513,507,513,510,512,508,511,508,512,512,513,510,512,508,510,512,509,506,515,513,514,517,510,505,510,510,506,509,507,506,513,508,507,505,507,512,517,514,512,512,508,509,508,513,515,508,508,512,518,517,512,513,513,512,508,512,518,514,511,A
509,510,508,508,507,504,507,511,516,512,512,514,513,511,515,512,518,513,514,508,510,507,510,505,509,511,510,514,512,508,513,516,508,516,519,515,515,515,508,514,508,508,508,514,510,509,508,508,512,512,510,508,504,506,510,508,510,510,510,508,511,504,512,512,513,510,513,509,517,520,517,516,517,508,502,A
507,512,518,512,508,511,516,513,507,514,512,514,518,518,511,512,512,509,500,507,500,512,513,514,515,508,511,512,518,512,510,512,516,512,511,505,504,505,510,508,499,508,512,507,509,514,515,521,518,513,505,512,511,510,512,508,512,510,512,512,514,512,510,508,504,512,509,512,512,517,513,505,508,510,509,A
518,512,505,506,509,511,507,509,516,516,509,514,518,510,512,509,510,507,508,512,512,506,510,504,503,509,513,517,508,513,513,515,513,515,512,505,508,505,512,507,512,514,511,506,512,515,508,508,516,520,508,510,512,508,504,513,510,504,513,514,508,502,502,509,508,513,521,525,519,519,516,510,504,505,504,A
498,500,512,512,505,512,518,515,510,518,521,513,512,508,504,504,510,510,504,502,508,511,500,504,515,519,515,518,518,513,508,510,511,508,508,518,513,509,512,512,505,502,506,510,508,507,515,518,515,519,512,508,509,512,512,512,510,515,512,507,508,508,513,512,510,512,510,512,515,510,508,515,513,510,511,A
