@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
502,509,511,515,516,508,512,514,519,510,508,507,513,511,505,507,512,515,508,505,508,512,511,520,516,510,515,513,510,504,509,513,512,510,514,514,504,502,504,507,508,509,514,517,518,508,508,508,502,508,510,515,512,505,500,505,508,510,507,512,512,519,519,515,514,509,502,505,515,524,520,510,506,496,497,A
502,513,518,524,524,524,516,495,499,505,508,506,506,506,512,508,519,514,513,508,514,512,504,501,504,518,518,514,507,513,516,513,508,508,515,509,510,514,506,512,510,508,508,508,504,506,512,512,511,508,515,512,510,508,503,504,513,522,529,530,515,520,514,508,515,516,514,502,506,502,498,494,497,504,511,A
512,506,502,505,509,513,510,510,514,514,518,514,517,513,513,510,510,512,511,510,511,513,512,510,512,510,507,512,515,515,506,510,508,518,512,513,519,511,510,504,511,512,516,518,510,509,504,506,507,512,506,508,508,500,504,506,514,512,515,516,515,514,507,508,510,512,518,512,505,510,510,508,514,516,510,A
504,506,513,510,506,504,508,512,520,514,518,513,510,508,512,515,508,510,517,516,512,507,505,504,504,508,516,512,510,506,508,514,513,515,516,518,517,508,505,506,508,506,505,504,500,504,508,513,512,519,520,515,516,516,514,516,515,519,513,500,500,502,505,505,504,506,505,510,512,514,515,513,518,514,519,A
515,512,509,510,508,506,507,505,508,506,504,513,517,515,508,510,512,513,504,509,512,512,515,513,512,515,510,505,512,512,510,510,512,513,510,512,512,508,508,508,510,512,514,506,510,512,512,514,511,509,507,508,518,518,508,510,515,520,518,505,499,506,505,502,504,508,508,508,508,512,518,516,516,509,507,A
502,504,501,504,505,508,515,518,523,520,520,510,512,508,508,506,512,510,508,500,505,508,512,506,512,516,518,514,519,514,509,512,510,516,515,519,512,505,504,509,508,508,508,508,507,508,510,513,512,512,512,512,506,508,512,513,514,513,515,512,512,508,510,515,510,503,512,515,514,510,508,506,512,509,501,A
508,506,504,505,512,513,514,516,518,515,514,512,510,512,508,506,499,499,514,512,515,507,510,508,512,515,515,516,511,510,510,510,514,516,507,508,509,510,507,506,509,516,508,505,512,510,510,502,497,500,510,513,516,518,515,518,512,512,511,511,507,508,510,512,516,518,511,518,517,515,517,512,504,499,504,A
505,505,508,505,516,510,503,505,507,508,512,512,512,507,510,513,512,512,508,510,510,509,510,513,510,510,506,514,518,518,516,512,512,512,515,514,511,504,504,506,507,504,508,510,512,514,511,512,514,512,512,515,513,512,509,504,502,505,508,508,516,515,513,512,514,514,506,506,512,520,515,511,509,508,505,A
513,518,526,524,521,513,506,500,500,502,499,501,507,506,512,510,508,510,514,512,510,509,510,508,508,512,515,510,509,512,512,510,508,516,517,519,515,508,504,504,504,512,515,514,512,510,510,506,504,504,506,508,515,514,517,516,518,512,509,512,511,513,513,512,511,508,511,510,507,505,502,502,504,508,512,A
515,522,515,513,512,508,512,512,504,510,512,512,507,512,511,513,512,509,506,513,512,508,508,507,512,514,515,520,518,512,512,508,510,513,515,508,506,497,502,505,502,505,512,514,513,509,514,514,512,508,513,516,512,510,513,513,510,504,508,511,512,510,511,515,515,512,511,510,510,504,515,511,508,505,513,A
516,514,508,506,508,510,526,519,516,510,506,504,504,502,507,507,510,508,510,505,510,517,512,501,510,519,522,521,524,523,512,502,499,501,503,506,512,513,514,513,512,505,505,505,510,518,518,514,512,510,506,504,507,516,516,508,513,515,512,512,511,510,511,507,508,509,515,514,513,510,505,502,499,511,514,A
510,512,514,518,518,518,518,509,505,508,510,505,507,512,509,504,501,510,515,512,508,510,518,514,512,515,520,507,507,510,507,505,506,514,511,512,510,506,508,507,506,510,510,504,508,515,516,513,505,509,510,504,504,521,523,516,513,520,520,510,502,511,509,504,504,515,514,509,509,512,506,507,513,519,514,A
510,512,511,505,504,504,512,513,512,510,511,512,510,505,508,505,508,508,511,514,514,504,510,510,506,508,512,515,516,510,514,512,515,511,515,512,509,504,510,512,510,508,508,514,518,518,512,511,505,508,508,508,505,508,510,506,507,512,522,518,513,508,507,508,507,505,511,515,510,506,506,508,510,510,508,A
508,512,510,512,516,520,517,513,504,500,500,499,509,518,517,513,513,515,520,517,509,512,505,508,512,512,508,512,505,508,512,508,514,509,513,513,513,510,512,516,512,511,508,510,506,508,512,510,507,510,515,514,509,516,513,512,505,508,508,510,512,512,514,512,513,511,512,506,500,502,503,505,505,507,512,A
512,512,513,515,518,512,508,514,512,507,512,510,512,510,512,513,514,508,514,510,512,510,507,510,512,514,507,506,506,513,516,512,509,513,504,508,511,516,518,516,515,509,499,504,512,515,520,513,508,508,506,506,506,507,510,510,510,512,512,514,513,512,510,511,512,508,510,509,512,514,513,510,508,508,507,A
507,510,515,512,515,514,514,516,513,508,504,504,508,517,507,506,508,507,508,504,505,506,508,512,516,515,511,511,514,508,504,508,513,512,512,510,512,517,512,509,510,512,515,510,508,511,510,509,508,510,513,510,521,518,512,510,507,507,510,510,508,510,508,504,510,516,520,515,517,515,505,510,510,509,510,A
508,508,502,508,510,506,507,512,512,513,513,514,512,516,510,504,505,506,508,509,506,507,507,510,512,510,520,515,507,512,505,510,510,512,508,510,512,513,510,512,510,508,511,508,512,513,512,514,514,512,515,516,519,517,512,505,506,504,511,512,512,512,514,514,510,510,505,505,505,508,513,514,519,526,523,A
512,503,504,503,502,510,505,502,503,501,505,505,504,509,512,516,516,517,525,524,516,511,506,506,506,503,504,507,510,517,524,529,521,514,509,504,500,500,504,512,514,513,514,508,507,506,511,510,512,518,517,511,508,508,505,505,506,510,516,521,516,505,497,497,502,506,513,513,516,515,516,517,515,510,511,A
