@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
508,511,518,518,512,509,508,510,510,510,510,510,512,513,510,512,510,511,514,511,513,513,512,512,510,510,510,513,512,512,508,504,505,508,509,512,508,508,510,512,515,511,508,508,511,515,515,514,513,510,511,511,510,513,512,512,509,507,510,506,510,512,515,517,514,514,513,509,508,507,508,511,514,513,512,A
513,508,506,508,511,510,512,512,512,512,512,508,512,512,510,508,505,507,508,510,512,511,512,514,515,516,512,512,511,511,512,510,508,508,509,509,511,511,508,508,505,510,511,510,510,510,515,514,515,514,512,510,508,506,508,510,512,515,513,513,510,510,510,510,506,510,512,515,518,514,512,508,506,506,507,A
514,514,511,515,511,508,506,502,509,511,510,511,505,511,510,513,512,513,514,512,520,514,513,512,500,504,500,508,515,519,521,528,529,515,504,497,496,498,506,511,514,510,512,518,504,505,504,508,504,507,506,504,513,526,519,510,512,514,519,507,502,508,514,516,512,524,526,522,514,504,507,502,519,520,510,A
498,480,492,494,492,508,519,534,547,542,523,512,504,504,505,501,499,504,504,511,511,512,509,514,514,526,524,518,502,500,505,514,512,511,508,502,506,512,506,514,514,515,518,521,522,524,519,509,506,505,512,506,509,516,510,513,512,508,506,509,513,516,513,505,510,512,504,499,504,512,513,513,518,518,516,A
518,511,506,498,498,508,500,515,521,526,529,526,520,524,512,499,495,492,502,504,508,513,520,521,523,521,515,510,506,500,504,504,509,511,509,516,512,518,516,512,519,513,518,512,512,517,516,512,512,515,510,512,505,508,512,510,510,506,508,510,506,513,519,518,514,510,512,508,510,505,504,506,512,513,515,A
515,514,513,510,514,514,525,526,518,519,512,518,508,503,506,508,510,499,502,514,512,512,516,515,512,508,498,499,502,508,515,517,512,512,508,502,499,513,513,518,508,508,506,513,516,508,514,509,504,504,504,509,520,516,517,521,509,510,509,508,512,510,510,515,518,513,516,515,512,512,512,513,506,504,504,A
506,505,505,504,507,512,520,514,508,512,516,513,512,504,504,508,513,520,515,513,513,513,515,511,509,504,497,510,516,512,511,515,519,519,508,501,504,512,512,511,502,510,520,514,514,510,513,515,512,512,512,511,516,511,507,508,505,507,508,508,512,514,508,510,512,515,514,506,510,514,515,508,504,508,510,A
507,521,524,521,513,506,504,498,500,502,508,512,508,512,510,516,518,516,510,510,505,508,510,514,512,512,516,518,512,508,506,521,508,506,510,504,502,506,516,515,518,518,506,508,504,510,513,506,505,502,510,511,509,515,512,515,514,516,518,512,515,512,508,515,510,509,512,509,508,499,504,503,512,521,511,A
511,510,512,509,506,508,512,508,512,512,512,512,514,516,513,510,513,512,512,512,510,509,510,511,515,513,516,512,512,511,510,502,504,503,515,512,506,510,511,515,510,504,508,513,514,519,514,514,515,508,513,509,508,511,506,504,504,507,508,515,515,521,523,510,512,508,508,516,518,520,515,504,505,508,507,A
510,515,518,510,498,500,508,504,508,508,504,508,513,519,519,514,510,508,505,512,515,513,513,515,515,513,508,505,508,502,506,508,511,518,518,516,507,513,516,513,515,512,513,516,513,508,507,505,504,507,506,500,506,512,512,513,511,508,505,507,516,513,515,510,508,512,508,508,504,505,510,507,507,508,512,A
