@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
505,505,507,509,510,512,510,506,511,510,515,520,520,516,510,512,509,508,510,505,505,504,499,510,516,521,516,515,510,510,509,512,513,514,509,504,505,512,513,508,506,512,514,512,513,509,512,515,511,510,515,512,512,512,517,512,510,506,498,504,510,512,513,519,523,518,510,514,512,508,509,505,504,507,512,A
512,519,513,513,518,514,510,508,501,500,502,503,508,512,519,522,520,519,512,507,512,514,512,508,504,510,512,512,520,518,508,504,504,513,512,510,508,506,509,510,508,515,515,520,519,513,504,509,512,510,513,513,514,505,510,514,514,508,506,512,517,510,505,508,512,520,518,515,512,510,502,500,508,513,518,A
518,518,520,512,507,499,497,505,507,514,514,518,521,515,519,510,502,502,510,518,511,504,512,514,511,520,521,518,518,513,508,510,505,505,504,512,507,499,504,508,518,516,514,518,516,513,506,506,513,520,516,514,513,512,513,505,512,510,510,512,512,513,512,506,507,508,513,515,514,516,512,510,512,508,512,A
516,521,520,510,508,506,498,501,505,507,509,508,508,513,520,516,511,510,510,512,514,518,519,518,515,508,502,505,512,516,518,513,512,508,505,505,505,516,521,516,511,512,517,514,516,508,504,502,510,512,519,512,507,512,519,514,505,501,506,510,516,519,514,511,512,512,508,508,507,512,508,510,508,508,510,A
514,518,514,515,519,521,514,513,506,510,505,505,508,506,513,515,514,514,512,517,514,512,514,513,514,508,504,508,508,508,508,510,515,516,516,518,516,510,504,499,510,513,521,521,510,508,506,505,508,502,506,516,518,521,519,516,513,510,508,505,504,502,508,517,518,515,509,512,508,516,520,515,512,508,508,A
505,513,510,509,511,512,512,508,505,512,508,512,512,513,515,512,515,514,512,514,512,510,510,507,509,514,508,509,510,510,512,510,514,512,512,512,510,512,508,507,508,510,515,517,509,511,510,506,512,514,511,509,512,512,510,508,512,517,516,518,519,516,509,512,511,512,508,499,500,506,514,518,516,512,509,A
506,506,510,511,516,514,505,504,505,508,510,517,526,516,512,508,506,511,516,516,505,506,514,515,513,509,505,512,512,513,512,510,508,511,508,508,512,514,510,504,514,519,515,514,508,512,514,513,507,507,509,508,505,510,514,512,513,518,514,508,502,505,508,512,517,515,520,515,510,510,506,506,510,511,515,A
512,514,516,507,512,510,510,508,510,509,512,512,513,510,505,508,511,513,510,505,512,520,519,511,513,510,510,508,505,508,512,515,510,510,513,510,505,499,507,517,514,513,516,515,516,512,508,503,504,506,504,510,518,519,513,512,508,510,508,510,512,512,512,509,516,518,512,510,505,511,512,513,513,513,512,A
512,510,508,505,510,515,508,508,512,514,512,509,512,512,509,509,510,512,512,507,504,508,510,513,513,510,510,515,522,522,515,508,506,502,498,505,505,508,514,518,516,509,509,512,510,510,514,518,518,512,512,510,506,504,504,508,510,510,515,519,519,512,508,511,513,507,510,508,508,512,512,512,506,514,512,A
510,510,510,510,514,509,511,508,511,510,506,505,506,513,520,520,517,509,505,508,508,512,508,509,513,512,510,512,513,516,512,512,514,515,512,511,510,516,513,508,506,508,515,511,506,507,513,508,508,512,517,514,510,508,502,508,514,512,512,511,510,508,509,505,508,514,515,513,505,510,508,513,515,522,514,A
