@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
518,518,517,520,513,508,508,505,508,506,507,510,512,510,516,521,518,506,504,510,512,505,500,502,512,514,512,514,510,509,518,521,518,512,508,508,502,499,504,511,513,512,512,510,511,513,508,508,505,507,510,510,507,510,513,516,516,517,513,509,512,509,511,518,510,512,516,516,514,511,506,504,510,510,512,A
522,514,512,510,504,507,506,505,508,510,512,512,517,516,515,512,513,522,524,519,514,499,496,499,506,505,509,510,504,504,515,516,514,518,517,514,504,508,504,510,515,520,512,513,515,514,512,505,504,508,510,512,517,513,512,508,504,500,508,516,515,519,518,512,505,501,508,514,518,518,518,520,513,517,507,A
502,503,510,507,504,509,508,504,510,512,512,512,506,514,516,513,515,513,511,504,507,515,516,516,514,515,510,510,512,510,507,505,507,512,513,507,504,507,508,511,515,512,504,509,515,513,510,512,519,520,519,509,508,498,494,499,507,515,521,521,520,520,512,507,512,515,508,509,504,504,507,513,514,515,512,A
508,510,513,514,514,508,510,515,515,517,510,505,500,500,506,504,510,518,521,510,508,511,518,517,517,525,521,512,512,512,508,496,500,505,505,506,510,515,512,515,513,513,512,508,510,506,502,506,515,518,510,510,512,512,513,510,510,510,512,512,512,510,508,508,513,509,504,514,513,512,512,508,511,508,511,A
508,505,508,515,515,516,517,519,518,519,516,513,512,504,498,499,505,508,512,512,512,507,506,511,515,512,515,518,518,517,510,512,510,506,507,508,513,515,517,510,510,510,502,506,510,512,510,509,512,513,513,512,511,512,512,512,507,506,509,509,512,508,505,508,512,512,514,516,520,517,516,512,508,504,502,A
512,518,515,510,512,508,505,508,503,512,513,512,510,513,512,507,508,508,510,512,512,512,515,518,512,505,506,509,510,514,524,515,510,505,502,506,518,520,518,510,506,508,505,510,512,512,510,509,512,511,510,510,510,511,509,508,512,512,509,518,520,514,502,499,500,506,513,510,514,514,512,513,517,512,515,A
511,508,510,510,508,506,506,512,512,516,515,512,510,506,507,508,509,513,513,511,510,514,512,510,512,512,511,508,510,513,512,510,508,512,515,514,515,512,513,514,510,508,508,505,504,502,508,513,520,520,514,504,506,508,508,508,505,510,513,510,512,517,514,515,510,508,507,504,511,515,518,511,511,511,512,A
508,505,506,509,511,512,511,515,513,512,512,512,513,514,508,506,506,510,510,518,522,516,512,505,505,508,512,511,508,504,502,505,510,512,517,514,516,514,511,510,512,511,515,516,514,512,507,506,504,508,508,510,510,510,513,512,510,511,508,512,512,510,509,512,512,511,508,513,511,513,513,506,508,511,515,A
515,512,513,512,507,506,510,512,512,515,513,508,508,506,508,506,508,512,512,510,512,512,515,512,512,511,512,510,512,510,512,508,507,508,505,508,514,518,517,511,510,513,513,507,502,502,509,518,517,512,510,509,511,513,510,508,513,512,515,512,515,515,510,505,505,508,509,508,510,510,508,512,510,514,516,A
516,516,510,510,507,515,514,515,509,513,515,516,514,511,512,513,512,515,515,515,512,505,510,512,510,516,516,513,515,515,508,505,510,513,508,506,511,512,512,512,505,503,506,509,508,510,511,515,517,515,513,509,507,502,504,512,520,520,519,516,515,511,510,502,507,512,512,513,508,508,512,510,510,505,502,A
