@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
502,502,510,516,518,516,513,515,511,512,510,512,515,508,510,510,507,508,513,513,510,510,511,512,516,514,508,505,505,512,521,518,515,512,517,511,505,508,504,505,508,512,512,510,512,514,511,513,510,501,508,508,515,512,515,509,510,514,515,514,511,507,509,512,508,512,516,510,509,505,505,506,513,512,515,A
515,510,511,511,510,511,513,508,515,515,511,509,502,505,510,514,518,518,520,507,499,504,504,506,508,512,518,518,515,517,515,516,514,510,507,502,508,508,512,518,518,512,505,509,504,505,511,510,510,514,513,512,507,504,512,515,510,512,511,516,521,515,508,502,505,507,514,515,512,509,506,512,518,518,509,A
507,506,504,510,506,513,514,516,510,509,508,506,510,515,514,515,513,513,516,512,504,507,507,504,509,510,517,514,508,510,508,511,509,510,514,510,510,510,508,511,513,512,508,511,513,512,508,508,505,510,512,504,504,510,513,510,513,515,518,523,517,507,505,507,512,514,507,507,504,500,509,510,512,509,510,A
510,511,514,515,518,518,515,509,508,502,505,506,505,513,512,510,504,499,505,519,521,520,521,518,511,519,515,504,502,498,502,511,508,515,514,507,518,518,515,508,508,511,511,513,510,516,520,513,505,502,500,507,508,502,510,510,510,512,510,512,512,518,513,512,508,506,508,512,510,513,520,522,521,514,509,A
502,501,505,512,520,513,507,506,500,504,507,511,512,514,517,515,512,515,513,512,511,504,508,506,516,514,508,512,514,512,510,510,511,512,504,496,509,518,518,511,512,510,509,511,511,512,514,510,508,507,507,506,512,511,513,510,506,507,508,515,512,513,512,514,516,514,515,514,510,514,514,512,510,505,506,A
502,507,513,512,504,510,517,523,514,510,510,510,510,508,508,512,509,512,510,508,508,514,512,513,511,513,506,508,514,514,514,512,508,519,517,515,511,510,511,515,514,513,510,514,507,514,514,513,512,513,517,523,512,512,510,505,506,508,515,516,511,511,500,508,510,516,514,514,510,512,509,513,506,504,506,A
513,509,512,507,516,511,506,508,510,512,511,504,505,510,515,513,510,514,514,508,512,512,513,512,510,516,514,509,505,512,510,511,500,512,510,512,514,512,508,511,505,508,508,510,512,517,518,520,513,515,512,514,509,508,504,509,506,514,509,516,519,520,512,512,512,518,508,513,515,515,512,511,508,507,502,A
501,504,512,510,513,512,512,516,513,508,507,511,508,509,510,513,511,512,509,513,512,515,513,516,512,509,506,506,508,515,512,509,504,500,510,516,528,514,511,510,512,510,511,503,504,510,513,518,515,514,507,512,505,509,510,508,512,512,513,506,512,505,512,512,508,508,511,512,512,515,517,513,508,504,505,A
510,510,508,515,505,513,512,513,513,513,512,511,513,512,508,507,502,504,500,502,518,525,517,515,517,513,505,508,514,512,508,509,512,508,510,504,508,508,519,516,510,504,510,517,515,515,510,512,505,506,506,510,513,511,513,512,508,504,509,513,517,508,512,512,508,507,505,510,513,514,512,511,512,511,504,A
506,506,510,508,505,512,512,513,512,512,512,515,512,516,513,508,506,508,509,505,512,512,514,512,512,506,507,505,508,512,512,514,518,513,510,510,508,512,513,510,508,512,505,508,507,514,512,511,512,514,520,517,518,508,512,512,515,513,512,505,509,507,508,508,504,504,510,504,506,515,516,514,508,512,508,A
