@RELATION EMG
@ATTRIBUTE Sinal1 REAL
@ATTRIBUTE Sinal2 REAL
@ATTRIBUTE Sinal3 REAL
@ATTRIBUTE Sinal4 REAL
@ATTRIBUTE Sinal5 REAL
@ATTRIBUTE Sinal6 REAL
@ATTRIBUTE Sinal7 REAL
@ATTRIBUTE Sinal8 REAL
@ATTRIBUTE Sinal9 REAL
@ATTRIBUTE Sinal10 REAL
@ATTRIBUTE Sinal11 REAL
@ATTRIBUTE Sinal12 REAL
@ATTRIBUTE Sinal13 REAL
@ATTRIBUTE Sinal14 REAL
@ATTRIBUTE Sinal15 REAL
@ATTRIBUTE Sinal16 REAL
@ATTRIBUTE Sinal17 REAL
@ATTRIBUTE Sinal18 REAL
@ATTRIBUTE Sinal19 REAL
@ATTRIBUTE Sinal20 REAL
@ATTRIBUTE Sinal21 REAL
@ATTRIBUTE Sinal22 REAL
@ATTRIBUTE Sinal23 REAL
@ATTRIBUTE Sinal24 REAL
@ATTRIBUTE Sinal25 REAL
@ATTRIBUTE Sinal26 REAL
@ATTRIBUTE Sinal27 REAL
@ATTRIBUTE Sinal28 REAL
@ATTRIBUTE Sinal29 REAL
@ATTRIBUTE Sinal30 REAL
@ATTRIBUTE Sinal31 REAL
@ATTRIBUTE Sinal32 REAL
@ATTRIBUTE Sinal33 REAL
@ATTRIBUTE Sinal34 REAL
@ATTRIBUTE Sinal35 REAL
@ATTRIBUTE Sinal36 REAL
@ATTRIBUTE Sinal37 REAL
@ATTRIBUTE Sinal38 REAL
@ATTRIBUTE Sinal39 REAL
@ATTRIBUTE Sinal40 REAL
@ATTRIBUTE Sinal41 REAL
@ATTRIBUTE Sinal42 REAL
@ATTRIBUTE Sinal43 REAL
@ATTRIBUTE Sinal44 REAL
@ATTRIBUTE Sinal45 REAL
@ATTRIBUTE Sinal46 REAL
@ATTRIBUTE Sinal47 REAL
@ATTRIBUTE Sinal48 REAL
@ATTRIBUTE Sinal49 REAL
@ATTRIBUTE Sinal50 REAL
@ATTRIBUTE Sinal51 REAL
@ATTRIBUTE Sinal52 REAL
@ATTRIBUTE Sinal53 REAL
@ATTRIBUTE Sinal54 REAL
@ATTRIBUTE Sinal55 REAL
@ATTRIBUTE Sinal56 REAL
@ATTRIBUTE Sinal57 REAL
@ATTRIBUTE Sinal58 REAL
@ATTRIBUTE Sinal59 REAL
@ATTRIBUTE Sinal60 REAL
@ATTRIBUTE Sinal61 REAL
@ATTRIBUTE Sinal62 REAL
@ATTRIBUTE Sinal63 REAL
@ATTRIBUTE Sinal64 REAL
@ATTRIBUTE Sinal65 REAL
@ATTRIBUTE Sinal66 REAL
@ATTRIBUTE Sinal67 REAL
@ATTRIBUTE Sinal68 REAL
@ATTRIBUTE Sinal69 REAL
@ATTRIBUTE Sinal70 REAL
@ATTRIBUTE Sinal71 REAL
@ATTRIBUTE Sinal72 REAL
@ATTRIBUTE Sinal73 REAL
@ATTRIBUTE Sinal74 REAL
@ATTRIBUTE Sinal75 REAL

@ATTRIBUTE class {A,E,I,O,U}
@DATA
508,510,513,510,510,520,512,512,504,500,512,512,510,507,504,515,518,514,512,504,506,514,510,512,514,516,514,507,507,512,507,510,510,512,514,512,506,510,507,502,510,515,514,518,512,509,510,510,508,514,510,512,515,505,506,509,510,510,510,504,510,518,509,508,513,513,513,510,506,507,507,508,513,512,508,U
511,510,508,512,511,516,516,510,507,505,508,510,511,508,508,513,513,512,509,510,512,515,514,514,512,508,510,504,506,508,510,509,512,507,508,511,508,510,515,510,506,514,514,512,513,510,504,509,513,510,512,511,506,508,513,506,512,512,509,513,515,511,510,508,506,508,515,518,514,514,513,508,502,506,512,U
506,507,510,508,511,510,510,508,512,508,511,514,517,508,508,510,508,506,502,508,509,508,514,520,514,519,513,512,514,508,510,510,505,508,509,506,509,511,509,508,511,513,511,513,512,512,510,513,512,512,510,504,505,507,515,514,516,512,516,512,507,508,505,505,507,510,512,510,512,512,516,510,512,510,508,U
512,508,508,513,518,514,511,509,511,505,512,512,506,514,512,512,512,513,510,510,509,512,513,512,512,512,513,511,510,508,508,505,511,512,508,513,518,519,515,510,508,506,506,509,513,512,510,506,504,505,508,507,513,514,510,512,515,507,508,514,509,510,512,512,506,515,511,518,510,515,512,512,505,512,508,U
507,508,510,512,511,510,508,508,512,508,510,513,506,508,506,505,508,512,516,510,512,509,513,510,510,508,509,505,507,508,506,507,512,511,508,508,514,505,510,510,510,510,510,510,507,508,508,514,510,506,512,512,506,511,513,509,511,513,510,510,512,510,508,504,507,510,512,507,512,513,512,510,513,510,502,U
510,512,512,514,512,508,509,510,507,510,506,507,510,512,511,514,514,510,512,515,516,516,513,511,512,508,508,508,508,508,508,510,512,512,513,513,512,512,512,512,510,507,505,508,510,512,516,518,515,512,512,511,508,509,512,508,508,510,507,515,512,507,507,512,506,508,508,507,518,515,509,510,509,510,512,U
511,514,512,504,511,512,505,508,509,508,513,514,513,512,510,508,512,515,514,515,511,506,507,504,505,507,507,516,514,509,506,504,506,515,512,510,510,507,518,515,512,513,514,510,510,508,506,506,510,506,512,510,505,508,510,508,516,516,508,512,510,506,516,517,510,513,510,508,509,505,510,512,505,508,510,U
512,510,516,512,515,512,508,508,510,507,512,511,510,512,509,512,510,507,510,515,512,518,515,511,505,506,508,510,510,516,513,512,507,508,512,513,512,512,506,507,515,516,510,512,505,507,510,511,510,511,506,512,513,516,515,515,515,515,510,509,505,507,506,514,513,510,508,511,513,517,513,510,504,509,512,U
504,510,508,506,510,515,512,514,516,512,506,508,512,508,516,514,508,502,508,513,510,513,515,508,504,508,504,508,515,516,513,515,515,508,512,513,512,507,510,505,508,510,510,508,510,508,509,509,512,514,506,508,510,514,512,512,515,508,505,513,518,512,510,504,508,504,512,512,515,512,512,512,506,512,516,U
517,512,506,507,508,507,510,515,513,518,505,510,508,510,508,508,504,510,508,513,512,517,510,512,511,510,512,509,509,510,510,512,508,505,514,513,512,506,504,507,512,508,508,507,512,512,509,510,515,512,512,514,512,512,508,512,514,510,511,515,510,508,516,511,511,506,506,510,514,508,508,510,513,513,509,U
